"sku","price","Quantity",
"0.00","0","0856-117",
"0.00","0","1-03204",
"0.00","0","1-03226",
"0.00","0","1-03238",
"0.00","0","1-03240",
"0.00","0","1-03261",
"0.00","0","1-03270",
"0.00","0","1-03273",
"0.00","0","1-06471",
"0.00","0","1-06472",
"0.00","0","1-06485",
"0.00","0","1-06490",
"0.00","0","1-06493",
"0.00","0","1-06494",
"0.00","0","1-06495",
"0.00","0","1-06497",
"0.00","0","1-06642",
"0.00","0","1-06643",
"0.00","0","1-06647",
"0.00","0","1-06651",
"0.00","0","1-06652",
"0.00","0","1-06655",
"0.00","0","1-06658",
"0.00","0","1-06674",
"0.00","0","1-06676",
"0.00","0","1-06678",
"0.00","0","1-06749",
"0.00","0","1-06757",
"0.00","0","1-06763",
"0.00","0","1-06784",
"0.00","0","1-06785",
"0.00","0","1-06786",
"0.00","0","1-06976",
"0.00","0","1-17242",
"0.00","0","1-17508",
"0.00","0","1-17526",
"0.00","0","1-17592",
"0.00","0","1-17667",
"0.00","0","1-17672",
"0.00","0","1-17683",
"0.00","0","1-17685",
"0.00","0","1-17702",
"0.00","0","1-17703",
"0.00","0","1-17706",
"0.00","0","1-17715",
"0.00","0","1-17728",
"0.00","0","1-17729",
"0.00","0","1-17735",
"0.00","0","1-17736",
"0.00","0","1-17741",
"0.00","0","1-17746",
"0.00","0","1-17747",
"0.00","0","1-17748",
"0.00","0","1-17749",
"0.00","0","1-17751",
"0.00","0","1-17754",
"0.00","0","1-17764",
"0.00","0","1-17765",
"0.00","0","1-17766",
"0.00","0","1-17774",
"0.00","0","1-17775",
"0.00","0","1-17779",
"0.00","0","1-17781",
"0.00","0","1-17784",
"0.00","0","1-17785",
"0.00","0","1-17790",
"0.00","0","1-17791",
"0.00","0","1-17796",
"0.00","0","1-17800",
"0.00","0","1-17810",
"0.00","0","1-17812",
"0.00","0","1-17822",
"0.00","0","1-17825",
"0.00","0","1-17826",
"0.00","0","1-17828",
"0.00","0","1-17831",
"0.00","0","1-17832",
"0.00","0","1-17835",
"0.00","0","1-17842",
"0.00","0","1-17845",
"0.00","0","1-17848",
"0.00","0","1-17849",
"0.00","0","1-17852",
"0.00","0","1-17859",
"0.00","0","1-17861",
"0.00","0","1-17863",
"0.00","0","1-17868",
"0.00","0","1-17869",
"0.00","0","1-17872",
"0.00","0","1-17873",
"0.00","0","1-17876",
"0.00","0","1-17877",
"0.00","0","1-17879",
"0.00","0","1-17884",
"0.00","0","1-17896",
"0.00","0","1-17904",
"0.00","0","1-17905",
"0.00","0","1-17907",
"0.00","0","1-17908",
"0.00","0","1-17914",
"0.00","0","1-17922",
"0.00","0","1-17927",
"0.00","0","1-17929",
"0.00","0","1-17930",
"0.00","0","1-17931",
"0.00","0","1-17934",
"0.00","0","1-17937",
"0.00","0","1-17938",
"0.00","0","1-17939",
"0.00","0","1-17942",
"0.00","0","1-17944",
"0.00","0","1-17948",
"0.00","0","1-17949",
"0.00","0","1-17950",
"0.00","0","1-17957",
"0.00","0","1-17969",
"0.00","0","1-17975",
"0.00","0","1-17982",
"0.00","0","1-17987",
"0.00","0","1-17989",
"0.00","0","1-17994",
"0.00","0","1-17995",
"0.00","0","1-17996",
"0.00","0","1-17997",
"0.00","0","1-19008",
"0.00","0","1-19014",
"0.00","0","1-19023",
"0.00","0","1-19045",
"0.00","0","1-19060",
"0.00","0","1-19063",
"0.00","0","1-19067",
"0.00","0","1-19090",
"0.00","0","1-19133",
"0.00","0","1-19185",
"0.00","0","1-19616",
"0.00","0","11011",
"0.00","0","11012",
"0.00","0","11020",
"0.00","0","11061",
"0.00","0","11062",
"0.00","0","11071",
"0.00","0","11072",
"0.00","0","11074",
"0.00","0","11081",
"0.00","0","11091",
"0.00","0","11092",
"0.00","0","11094",
"0.00","0","11096",
"0.00","0","11100",
"0.00","0","11120",
"0.00","0","11130",
"0.00","0","11131",
"0.00","0","11132",
"0.00","0","11150",
"0.00","0","11151",
"0.00","0","11152",
"0.00","0","11160",
"0.00","0","11171",
"0.00","0","11172",
"0.00","0","11180",
"0.00","0","11181",
"0.00","0","11182",
"0.00","0","11190",
"0.00","0","11200",
"0.00","0","11201",
"0.00","0","11202",
"0.00","0","11206",
"0.00","0","11211",
"0.00","0","11212",
"0.00","0","11231",
"0.00","0","11235",
"0.00","0","11236",
"0.00","0","11241",
"0.00","0","11242",
"0.00","0","11283",
"0.00","0","11284",
"0.00","0","11306",
"0.00","0","11320",
"0.00","0","11333",
"0.00","0","11340",
"0.00","0","11350",
"0.00","0","11357",
"0.00","0","11360",
"0.00","0","11385",
"0.00","0","11386",
"0.00","0","11400",
"0.00","0","11410",
"0.00","0","11453",
"0.00","0","11454",
"0.00","0","11461",
"0.00","0","11541",
"0.00","0","11560",
"0.00","0","11561",
"0.00","0","11562",
"0.00","0","11580",
"0.00","0","11581",
"0.00","0","11582",
"0.00","0","11591",
"0.00","0","11592",
"0.00","0","11605",
"0.00","0","11606",
"0.00","0","11610",
"0.00","0","11611",
"0.00","0","11621",
"0.00","0","11622",
"0.00","0","11631",
"0.00","0","11633",
"0.00","0","11641",
"0.00","0","11642",
"0.00","0","11661",
"0.00","0","11662",
"0.00","0","11668",
"0.00","0","11671",
"0.00","0","11672",
"0.00","0","11681",
"0.00","0","11682",
"0.00","0","11701",
"0.00","0","11702",
"0.00","0","11711",
"0.00","0","11712",
"0.00","0","11741",
"0.00","0","11743",
"0.00","0","11744",
"0.00","0","11751",
"0.00","0","11752",
"0.00","0","11761",
"0.00","0","11805",
"0.00","0","11806",
"0.00","0","11871",
"0.00","0","11872",
"0.00","0","11891",
"0.00","0","11892",
"0.00","0","11902",
"0.00","0","11903",
"0.00","0","11904",
"0.00","0","11921",
"0.00","0","11922",
"0.00","0","11931",
"0.00","0","11932",
"0.00","0","11941",
"0.00","0","11942",
"0.00","0","11943",
"0.00","0","11944",
"0.00","0","11950",
"0.00","0","11981",
"0.00","0","11982",
"0.00","0","11991",
"0.00","0","11992",
"0.00","0","15021",
"0.00","0","15022",
"0.00","0","15030",
"0.00","0","15031",
"0.00","0","15032",
"0.00","0","15051",
"0.00","0","15052",
"0.00","0","15060",
"0.00","0","15065",
"0.00","0","15080",
"0.00","0","15130",
"0.00","0","15141",
"0.00","0","15146",
"0.00","0","15150",
"0.00","0","15151",
"0.00","0","15152",
"0.00","0","15170",
"0.00","0","15180",
"0.00","0","15200",
"0.00","0","15212",
"0.00","0","15280",
"0.00","0","15311",
"0.00","0","15340",
"0.00","0","15342",
"0.00","0","15350",
"0.00","0","15351",
"0.00","0","15352",
"0.00","0","15362",
"0.00","0","15371",
"0.00","0","15372",
"0.00","0","15511",
"0.00","0","15512",
"0.00","0","15911",
"0.00","0","15912",
"0.00","0","1988-101",
"0.00","0","1988-102",
"0.00","0","1988-104",
"0.00","0","250310",
"0.00","0","33016",
"0.00","0","33020",
"0.00","0","33025",
"0.00","0","33031",
"0.00","0","33035",
"0.00","0","33050",
"0.00","0","33071",
"0.00","0","33114",
"0.00","0","33118",
"0.00","0","33171",
"0.00","0","33173",
"0.00","0","33202",
"0.00","0","33335",
"0.00","0","44176",
"0.00","0","510038",
"0.00","0","512003",
"0.00","0","512009",
"0.00","0","512018",
"0.00","0","512020",
"0.00","0","512118",
"0.00","0","512123",
"0.00","0","512155",
"0.00","0","512156",
"0.00","0","512161",
"0.00","0","512166",
"0.00","0","512170",
"0.00","0","512174",
"0.00","0","512178",
"0.00","0","512195",
"0.00","0","512208",
"0.00","0","512221",
"0.00","0","512240",
"0.00","0","512247",
"0.00","0","512285",
"0.00","0","512303",
"0.00","0","512347",
"0.00","0","513035",
"0.00","0","513080",
"0.00","0","513105",
"0.00","0","513122",
"0.00","0","513214",
"0.00","0","53140",
"0.00","0","53141",
"0.00","0","AC1000110",
"0.00","0","AC1000130",
"0.00","0","AC1000133",
"0.00","0","AC1000140",
"0.00","0","AC1000140C",
"0.00","0","AC1000140",
"0.00","0","AC1000141",
"0.00","0","AC1000141C",
"0.00","0","AC1000141",
"0.00","0","AC1000143",
"0.00","0","AC1000145",
"0.00","0","AC1000149",
"0.00","0","AC1000149",
"0.00","0","AC1000150",
